k_diag,k_bert,method,rewiring,experiment_id,n_edges,n_nodes,density,graph_prefix,status,r2_seed_42,time_seed_42,r2_mean,r2_std,r2_min,r2_max,successful_seeds,avg_training_time
5,1,faiss,mst,k5_1_faiss_mst,294081,65347,0.00013773753273240566,gps_k5_1_fa_mst_,completed,0.4213278889656067,902.3186025619507,0.4213278889656067,0.0,0.4213278889656067,0.4213278889656067,1,902.3186025619507
5,1,tfidf,none,k5_1_tfidf_none,262749,65347,0.00012306269017007849,gps_k5_1_tf_,completed,0.4237792491912842,955.6173548698425,0.4237792491912842,0.0,0.4237792491912842,0.4237792491912842,1,955.6173548698425
5,1,tfidf,gdc_light,k5_1_tfidf_gdc_light,262949,65347,0.0001231563633640165,gps_k5_1_tf_gdcl_,completed,0.4233383536338806,954.5916967391968,0.4233383536338806,0.0,0.4233383536338806,0.4233383536338806,1,954.5916967391968
5,1,tfidf,mst,k5_1_tfidf_mst,262749,65347,0.00012306269017007849,gps_k5_1_tf_mst_,completed,0.42567527294158936,955.040326833725,0.42567527294158936,0.0,0.42567527294158936,0.42567527294158936,1,955.040326833725
5,1,penalize,none,k5_1_penalize_none,267257,65347,0.00012517408396144102,gps_k5_1_pn_,completed,0.40960264205932617,1042.6979048252106,0.40960264205932617,0.0,0.40960264205932617,0.40960264205932617,1,1042.6979048252106
5,1,penalize,gdc_light,k5_1_penalize_gdc_light,267457,65347,0.000125267757155379,gps_k5_1_pn_gdcl_,completed,0.41846245527267456,1040.5202825069427,0.41846245527267456,0.0,0.41846245527267456,0.41846245527267456,1,1040.5202825069427
5,1,penalize,mst,k5_1_penalize_mst,267257,65347,0.00012517408396144102,gps_k5_1_pn_mst_,completed,0.41827094554901123,1042.803395986557,0.41827094554901123,0.0,0.41827094554901123,0.41827094554901123,1,1042.803395986557
5,3,faiss,none,k5_3_faiss_none,424658,65347,0.0001988953559566171,gps_k5_3_fa_,completed,0.40533822774887085,941.78018450737,0.40533822774887085,0.0,0.40533822774887085,0.40533822774887085,1,941.78018450737
5,3,faiss,gdc_light,k5_3_faiss_gdc_light,424858,65347,0.00019898902915055513,gps_k5_3_fa_gdcl_,completed,0.41904670000076294,936.5062234401703,0.41904670000076294,0.0,0.41904670000076294,0.41904670000076294,1,936.5062234401703
5,3,faiss,mst,k5_3_faiss_mst,424658,65347,0.0001988953559566171,gps_k5_3_fa_mst_,completed,0.4189907908439636,937.778181552887,0.4189907908439636,0.0,0.4189907908439636,0.4189907908439636,1,937.778181552887
5,3,tfidf,none,k5_3_tfidf_none,393127,65347,0.00018412730856632166,gps_k5_3_tf_,completed,0.42223042249679565,1002.2200381755829,0.42223042249679565,0.0,0.42223042249679565,0.42223042249679565,1,1002.2200381755829
5,3,tfidf,gdc_light,k5_3_tfidf_gdc_light,393327,65347,0.00018422098176025964,gps_k5_3_tf_gdcl_,completed,0.4142131209373474,998.3222126960754,0.4142131209373474,0.0,0.4142131209373474,0.4142131209373474,1,998.3222126960754
5,3,tfidf,mst,k5_3_tfidf_mst,393127,65347,0.00018412730856632166,gps_k5_3_tf_mst_,completed,0.4163055419921875,1003.1263480186462,0.4163055419921875,0.0,0.4163055419921875,0.4163055419921875,1,1003.1263480186462
5,3,penalize,none,k5_3_penalize_none,397665,65347,0.00018625275333677488,gps_k5_3_pn_,completed,0.40879446268081665,1089.0658202171326,0.40879446268081665,0.0,0.40879446268081665,0.40879446268081665,1,1089.0658202171326
5,3,penalize,gdc_light,k5_3_penalize_gdc_light,397865,65347,0.00018634642653071287,gps_k5_3_pn_gdcl_,completed,0.42111945152282715,1082.9941239356995,0.42111945152282715,0.0,0.42111945152282715,0.42111945152282715,1,1082.9941239356995
5,3,penalize,mst,k5_3_penalize_mst,397665,65347,0.00018625275333677488,gps_k5_3_pn_mst_,completed,0.4219377040863037,1090.122752904892,0.4219377040863037,0.0,0.4219377040863037,0.4219377040863037,1,1090.122752904892
